#,"Referring Domain1","Domain Rating (desc)1","Ahrefs Rank","Total Backlinks","Backlinks for Referring Domain (Percent %)","Dofollow Backlinks","Dofollow Backlinks for Referring Domain (Percent %)","First Seen","Referring domains","Linked Domains","Organic Traffic"
54,forexindo.com,25,7609517,58,0.02,0,0,"2016-07-08 10:24:44",765,659,1042
55,forexneuralnetwork.com,25,7369740,45,0.01,0,0,"2022-02-15 05:49:09",834,655,0
56,helpingwithforex.com,25,7216045,75,0.02,0,0,"2021-01-29 04:36:12",578,"1,099",18
57,forex-nawigator.biz,24,7798425,1,0,1,0,"2015-12-02 11:40:26",221,"6,976",8150
58,chuyengiaforex.com,24,7749930,3,0,3,0,"2020-08-25 17:56:10",93,175,2.7
59,forexcargodeals.com,22,8687284,2,0,0,0,"2020-04-25 16:12:29",150,417,3232
60,forextradingnomad.com,22,8918355,5,0,0,0,"2023-01-24 10:26:36",293,12,0
61,bfsforex.com,21,9423817,1,0,1,0,"2021-11-05 01:14:10",71,7,0
62,thecenterforexceptionalfamilies.org,21,9242048,51,0.02,51,0.02,"2019-05-22 03:51:08",39,167,40
63,forexstockmarkethours.com,20,9701298,1,0,1,0,"2020-05-22 21:08:55",103,162,0
64,forex.ee,20,10077131,2,0,2,0,"2022-03-21 11:37:44",148,26,0
65,stp.forex,20,10174300,147,0.05,147,0.06,"2022-02-07 21:08:22",27,20,34
66,forex-broker.trade,19,10559844,1,0,1,0,"2022-07-04 02:10:13",12,10,0
67,atimeforexpression.com,18,11549414,156,0.05,156,0.06,"2017-06-13 20:39:08",82,55,26
68,forexnext.com,18,11384520,5,0,5,0,"2019-08-27 07:50:51",449,66,22
69,forexguru.pk,18,11280297,2,0,2,0,"2020-08-25 23:44:38",108,68,75
70,forexbroker.co.ke,17,12457826,288,0.09,0,0,"2022-08-02 21:18:06",124,83,2847
71,forexforum.asia,16,12674382,4,0,4,0,"2022-08-29 17:41:27",65,511,0
72,ebshkforex.com,16,12984262,1,0,0,0,"2019-04-17 02:47:54",14,22,70
73,forexalchemy.com,16,13196929,1,0,1,0,"2021-09-11 21:25:16",344,615,44
74,onlineforexmaster.com,16,12700990,2,0,0,0,"2020-02-09 11:49:02",233,35,17
75,rannforex.com,16,12564235,1,0,0,0,"2021-03-23 12:51:08",59,54,442
76,forexdigital.net,16,12700321,316,0.10,0,0,"2022-02-02 07:28:40",592,440,155
77,charterforex.com,15,13703983,1,0,0,0,"2023-03-17 16:11:44",7,11,4.7
78,elementforex.com,15,14471550,1,0,0,0,"2023-03-23 03:57:50",340,"7,173",11
79,forexconduct.com,15,13699116,1,0,0,0,"2020-11-19 23:36:00",321,0,0
80,forexratestoday.com,15,14247796,2,0,0,0,"2021-12-24 20:23:55","1,265",22,0.36
81,forexstoreea.com,15,14444569,2097,0.66,2097,0.85,"2021-09-30 04:32:36",335,140,155
82,royalforex.com,15,14779240,6,0,0,0,"2019-03-10 06:23:39",21,6,0
83,forexbrokers.ke,15,14428851,11,0,0,0,"2022-08-01 12:57:03",70,53,0
84,caratradingforex.com,14,15795162,1,0,1,0,"2023-03-21 19:30:42",85,52,25
85,forex2x.com,14,15130893,22,0.01,0,0,"2020-11-08 18:16:29",20,126,9
86,forexbbc.com,14,15290188,3,0,0,0,"2022-07-22 14:59:07",219,26,0.01
87,forexoptimal.com,14,15192987,5,0,0,0,"2021-04-22 15:45:00",129,29,0
88,forex.es,14,15061522,8,0,8,0,"2021-07-12 19:36:51",87,"1,461",0
89,forextrading.reviews,14,15505275,57,0.02,0,0,"2021-05-09 23:13:01",91,72,0
90,forextrip.net,13,16208686,1,0,0,0,"2023-01-02 02:16:01",3,23,41
91,aceforexsignals.com,12,17869547,1,0,0,0,"2023-02-07 19:02:27",144,12,1.7
92,hawksforex.com,12,17592294,2,0,0,0,"2023-02-27 15:34:08",581,15,0.02
93,practiceforex.com,12,17363857,91,0.03,0,0,"2021-05-10 22:51:15",403,613,0.08
94,richalforex.com,12,17486166,2,0,0,0,"2022-01-08 03:30:24",2,0,0
95,daytradingforexlive.com,11,18478043,18,0.01,0,0,"2019-01-23 14:41:43",273,55,0
96,forex786.com,11,18579446,2,0,0,0,"2022-07-09 14:53:19",64,7,0
97,masterforexid.com,11,19674082,5,0,5,0,"2022-04-22 06:30:58",22,43,12
98,shkforex.com,11,19559223,2,0,0,0,"2017-11-25 15:07:15",24,14,2.4
99,societyforexploratoryresearch.com,11,19110227,5,0,0,0,"2022-09-04 14:50:33",278,"6,005",0
100,forexample.de,11,19549393,466,0.15,0,0,"2022-02-28 06:04:50",100,6,5
101,forexlive-forexworld.blogspot.com,10,21661175,43,0.01,43,0.02,"2020-05-24 04:50:28",577,775,0
102,thaitalkforex.com,10,20633521,2,0,0,0,"2022-05-08 14:59:23",58,500,63
103,hongkongforex.hk,10,20621370,1,0,0,0,"2023-02-05 16:14:02",345,"4,848",21
104,kursusforex.id,10,21528037,75,0.02,75,0.03,"2020-01-29 07:12:41",91,25,0
105,forexvps.co,9,23708941,1,0,0,0,"2019-05-06 21:37:51",2,7,0
106,xtreamforextadingproducts.blogspot.com,9,24186200,53,0.02,53,0.02,"2021-06-25 00:21:37",5,10,0
107,forex100academy.com,9,22376886,10,0,9,0,"2019-08-11 07:15:08",42,23,21
108,geekieforexreviews.com,9,22333082,1,0,1,0,"2020-06-27 16:55:46",13,15,0
109,jdforexbroker.com,9,23560914,15,0,0,0,"2021-02-11 11:52:49",130,26,0
110,king-forex.com,9,21908429,96,0.03,96,0.04,"2019-02-15 05:01:29",50,23,53
111,forexindices.es,9,22194219,17,0.01,0,0,"2013-08-08 18:49:17",18,22,0
112,forex-trading-market.eu,9,24193266,1,0,1,0,"2019-04-19 06:10:59",90,12,1.1
113,forexmarketing.eu,9,23893193,2,0,0,0,"2019-10-24 15:38:13",1,0,0
114,mglforex.mn,9,22226412,1,0,0,0,"2021-06-23 11:59:06",10,65,175
115,ibforex.top,9,24028697,1,0,0,0,"2019-10-17 11:22:09",6,4,0
116,forexsignals.cc,8,25946519,3,0,0,0,"2019-01-16 20:19:32",10,18,20
117,forexcompanywatchmovies.blogspot.com,8,26356532,20,0.01,20,0.01,"2022-01-07 18:28:38",544,"1,133",0
118,forexbooklet.com,8,25598006,1,0,0,0,"2021-08-12 14:02:24",10,28,0
119,forexhomeschooling.com,8,26447776,1,0,0,0,"2021-12-16 14:40:00",2,0,0.01
120,forextradinglondon.com,8,25464311,1,0,1,0,"2023-02-22 15:15:51",38,53,0
121,mforex.pro,8,24358840,2,0,0,0,"2021-04-07 09:16:57",6,19,0
122,forexstart01.space,8,26075772,8,0,0,0,"2023-03-04 18:02:41",1,12,0
123,forex.vision,8,26501020,1,0,0,0,"2021-08-19 16:25:58",3,10,0.04
124,forexforum.co,7,27376244,37034,12,7,0,"2019-11-08 19:42:25",68,24,1715
125,creditcardsforexcellentcredit.blogspot.com,7,27280108,3,0,3,0,"2022-12-10 19:39:15",3,8,0
126,eforexvps.com,7,26711221,2,0,1,0,"2019-12-27 00:14:17",12,10,0
127,fbcforexinstitute.com,7,28850861,1,0,0,0,"2021-10-27 15:58:33",2,9,0
128,forex-broker-review.com,7,28246420,1,0,1,0,"2021-10-08 15:02:23",16,25,0.90
129,forexmarketview.com,7,28151959,3,0,0,0,"2022-12-28 12:02:46",483,419,0
130,gkmforex68.com,7,27780218,8,0,0,0,"2021-11-20 02:28:14",7,11,0
131,mscforexport.com,7,29240843,1,0,0,0,"2022-05-07 03:33:00",1,1,0
132,pureforexcrypto.com,7,28664233,4,0,4,0,"2023-01-07 02:56:21",1,3,0
133,uniforexmexico.com,7,28867248,25,0.01,25,0.01,"2020-08-04 03:39:46",1,10,2.1
134,zignalforex.com,7,27958347,1,0,0,0,"2022-12-04 18:27:52",3,0,0
135,forexpeople.co.za,7,29032455,1,0,0,0,"2022-09-22 13:28:40",8,37,66
136,vistaforex.cf,6,32418455,30,0.01,30,0.01,"2021-11-02 11:56:16",442,"19,752",1.1
137,secretsfromtheheart-forex.blogspot.com,6,30347641,11,0,11,0,"2021-04-17 21:45:38",22,60,0.24
138,gkmforex73.com,6,30074936,3,0,0,0,"2021-12-25 18:20:33",5,10,0
139,instantforexincome.com,6,30210755,1,0,0,0,"2021-03-23 18:34:50",152,57,0
140,forextherm.cz,6,30628895,4,0,0,0,"2021-09-13 20:54:13",11,3,0.92
141,forexvps.host,6,31998639,1,0,0,0,"2023-02-21 09:04:04",321,5,0.05
142,vistaforex.xyz,6,29593054,5,0,5,0,"2021-09-19 03:28:14",109,"13,117",0
143,forextraderbg.blogspot.com,5,33053503,14,0,14,0.01,"2020-11-23 16:26:07",6,14,1.7
144,forexef.com,5,33590020,1,0,1,0,"2022-12-11 11:59:46",201,"20,174",0
145,topforexplatform.com,5,33136504,1,0,0,0,"2022-11-18 12:17:17",395,"2,911",0
146,costaforex.in,5,34235590,2,0,0,0,"2022-10-19 08:21:29",4,4,0
147,tradingforexgold.net,5,34270069,332,0.10,332,0.14,"2018-08-11 04:02:21",149,29,8
148,forexmoneyexchangeservicedelhi.blogspot.com,4,35319577,24,0.01,24,0.01,"2019-04-01 05:55:22",7,13,0
149,forex-makers.com,4,35271310,11,0,0,0,"2019-01-04 07:29:57",527,57,0
150,gkmforex72.com,4,35373648,9,0,0,0,"2021-12-18 11:12:33",3,10,0
151,forex30pips.it,4,35272251,24,0.01,24,0.01,"2020-03-18 08:28:39",9,24,0
152,fotoopforex.nl,4,35509168,2,0,2,0,"2022-11-13 06:35:41",57,17,3.4
153,gkmforex75.com,4,36022877,1,0,0,0,"2022-01-09 02:44:34",4,10,0
154,deforexopleiding.nl,4,35731822,1,0,0,0,"2023-02-15 07:44:42",3,8,16
155,forexremisier.blogspot.com,4,36599696,34,0.01,34,0.01,"2019-04-02 15:24:28",1,9,0
156,usaforexsignal.blogspot.com,4,36346256,5,0,5,0,"2022-05-07 21:22:31",1,11,0
157,forexcalibursignal.com,4,36837288,2,0,2,0,"2023-01-11 11:55:51",121,"5,879",2.8
158,forexmoneytransferltd.com,4,36222261,1,0,0,0,"2022-09-03 12:58:36",1,0,0
159,gkmforex69.com,4,37142702,4,0,0,0,"2021-11-29 22:48:53",3,11,0
160,gkmforex70.com,4,36929564,4,0,0,0,"2021-12-04 05:13:10",3,11,0
161,miamiforexclub.com,4,37370249,8,0,8,0,"2018-04-20 10:30:42",28,18,0.37
162,forexin.com,4,39698400,5,0,0,0,"2019-10-06 21:56:32",7,4,0.42
163,realforexbroker.com,4,39265077,2,0,1,0,"2022-12-23 03:27:01",38,44,0
164,forexhustleruniversity.blogspot.com,3,40141080,2,0,2,0,"2023-02-07 09:42:04",1,4,0
165,forex-forum.by,3,40759787,1,0,0,0,"2020-01-22 18:20:27",29,58,0
166,comelearnforex.com,3,40711529,1,0,1,0,"2019-02-12 03:44:32",15,9,55
167,realforexsignal.com,3,41081032,1,0,0,0,"2021-04-18 21:18:01",1,4,0
168,forexforums.com,3,41347507,7,0,7,0,"2023-02-13 15:40:58",79,"1,226",0
169,forexmarkethelpers.blogspot.com,3,42996794,7,0,7,0,"2022-02-23 18:31:15",1,8,0
170,withdrawal-forex.blogspot.com,3,42614836,4,0,4,0,"2021-07-12 05:59:40",2,18,0
171,belajarforexdasaruntukpemula.blogspot.com,3,44031213,26,0.01,0,0,"2021-10-10 05:44:09",95,112,0.10
172,belajarforexpemulaindonesia.blogspot.com,3,44024236,109,0.03,0,0,"2020-11-30 23:03:06",95,67,1.1
173,forexcomexsignalstheexbs.blogspot.com,3,44014877,13,0,13,0.01,"2020-10-21 15:16:29",1,8,0
174,tradingforexsaham.blogspot.com,3,43940910,58,0.02,0,0,"2020-11-30 21:18:47",96,65,3.9
175,forexlearnersacademy.com,3,44130656,4,0,4,0,"2021-09-04 12:11:55",13,139,0.16
176,forum.forex,3,43914446,1,0,0,0,"2021-01-16 06:46:01",79,22,134
177,forexwealth.biz,3,44404165,33,0.01,33,0.01,"2022-09-10 01:13:09",6,21,0
178,belajarforexuntukpemulagratis.blogspot.com,3,44333238,15,0,0,0,"2021-06-29 03:04:50",93,113,0
179,investinforexs.blogspot.com,3,44343731,13,0,13,0.01,"2020-04-08 23:05:24",1,5,0
180,forextradingstrategysystem.com,3,44372103,2,0,2,0,"2022-09-05 00:00:06",112,126,0
181,belajarforextradingonlineindonesia.blogspot.com,3,45694435,31,0.01,0,0,"2021-01-08 04:16:09",82,113,0.01
182,belajarforexyoutube.blogspot.com,3,45694430,104,0.03,0,0,"2020-12-03 13:36:58",82,113,0
183,videoforextraiding.blogspot.com,3,45773418,1,0,1,0,"2020-06-27 06:24:53",83,70,0
184,lovingforex.com,3,45841616,1,0,0,0,"2023-01-08 05:58:22",11,685,0
185,thisweekinforex.com,3,45758266,13,0,13,0.01,"2017-02-12 05:20:42",11,173,0.58
186,alforexalfombras.com,3,46220787,1,0,0,0,"2022-12-19 20:56:32",43,0,410
187,forextradingstudio.com,3,46549554,1,0,0,0,"2022-04-10 12:24:01",4,8,0
188,oneforexaffiliateprogram.blogspot.com,2,47860117,2,0,2,0,"2023-03-12 21:21:39",23,0,0
189,oneforexaffiliateprogramsreview.blogspot.com,2,47648917,3,0,3,0,"2022-08-30 21:31:44",24,0,0
190,homesforexpat.com,2,47594349,849,0.27,849,0.35,"2022-04-24 23:46:18",7,6,0.02
191,vincoforex.com,2,47613162,10,0,10,0,"2018-11-17 02:24:00",27,21,10
192,profi-forex.info,2,47375083,1,0,1,0,"2022-12-29 01:09:42",25,62,0
193,paysanduforexport.gub.uy,2,47731124,1,0,0,0,"2021-11-10 14:34:04",3,25,10
194,forexaffiliateprogramsreview.blogspot.com,2,48175489,1,0,1,0,"2023-03-14 16:53:42",26,0,0
195,coloradoforex.com,2,48656551,1,0,0,0,"2023-02-26 14:56:45",27,29,77
196,forexformacion.com,2,48498144,31,0.01,0,0,"2022-07-07 11:34:55",103,29,0
197,gkmforex76.com,2,48210159,6,0,0,0,"2022-01-21 20:05:46",3,12,0
198,listbestforexbrokers.com,2,48741607,1,0,0,0,"2023-01-06 12:44:29",47,17,0.56
199,carforexpat.com.sg,2,48106315,17,0.01,17,0.01,"2022-03-09 02:53:18",5,9,4.1
200,australiaforexbrokers.blogspot.com,2,49791877,95,0.03,95,0.04,"2019-03-12 14:49:31",19,27,0
201,forex-cavo.com,2,49522095,1,0,0,0,"2023-01-22 03:16:31",2,3,0
202,gkmforex71.com,2,49645525,5,0,0,0,"2021-12-10 23:26:28",2,10,0
203,forexsigorta.com.tr,2,49056231,2,0,2,0,"2021-11-16 16:29:13",2,18,0
204,forexaweb.com,2,49980130,6,0,0,0,"2019-04-17 16:32:10",4,9,2.9
205,primusforex.net,2,50577437,2,0,0,0,"2023-03-21 06:50:45",2,21,0.13
206,lvlforex.com,2,51474023,2,0,0,0,"2023-01-22 22:49:58",1,6,0
207,forexscamreview.com,2,51707518,1,0,0,0,"2022-05-04 07:58:52",72,28,0.49
208,brokerforexterpercayadiindonesia.blogspot.com,2,53004717,119,0.04,0,0,"2019-04-20 06:29:14",76,56,0
209,tradingforexjakarta.blogspot.com,2,52868324,106,0.03,0,0,"2020-11-30 23:54:22",76,115,0.04
210,silentforex.com,2,53512614,1,0,0,0,"2020-10-25 01:31:30",1,2,0
211,trafficforexcrypto.com,2,53600837,1,0,0,0,"2022-11-24 14:28:54",1,18,0
212,vateeforex.com,2,53764953,4,0,0,0,"2022-09-09 17:45:37",1,9,0
213,rentalsforexpats.eu,2,54198932,1,0,0,0,"2022-04-02 05:39:37",2,9,0.04
214,forexengineer.com.my,2,53858081,1,0,1,0,"2019-12-06 00:17:27",520,22,690
215,attractiveforexpeditionarytrips.blogspot.com,1,55934614,20,0.01,20,0.01,"2022-02-13 15:29:04",2,16,0.33
216,forexekspo.blogspot.com,1,56671572,3,0,3,0,"2022-03-19 09:22:28",3,30,0
217,forextaurus.blogspot.com,1,55978713,504,0.16,504,0.21,"2019-05-15 22:08:17",2,44,0.04
218,clickforex.com,1,56368817,1,0,0,0,"2021-11-14 18:47:28",57,122,0.13
219,forexeurchf.com,1,55839886,340,0.11,0,0,"2021-11-25 22:02:11",17,0,0.14
220,forexeurgbp.com,1,55839887,315,0.10,0,0,"2021-12-08 20:38:37",17,0,0
221,forexusdcad.com,1,55839906,270,0.09,0,0,"2021-12-03 10:09:09",16,0,0.14
222,gkmforex78.com,1,55650215,5,0,0,0,"2022-02-05 06:50:29",2,11,0
223,dayspringlifecoachingforexpats.nl,1,56234811,3,0,3,0,"2022-05-21 04:12:08",3,12,0.52
224,dynamicforexpro.com,1,57708212,1,0,0,0,"2022-12-26 17:34:00",1,0,0.04
225,forexlearningacademy.com,1,57671053,1,0,0,0,"2022-01-22 19:06:28",1,15,0
226,tiptradingforex.blogspot.com,1,58500241,13,0,1,0,"2019-03-02 08:17:24",5,124,0.01
227,evolutionforextrading.com,1,57968836,1,0,0,0,"2018-10-13 23:40:39",22,23,0.07
228,gkmforex88.com,1,58241754,28,0.01,0,0,"2022-04-27 10:06:00",5,9,0
229,hattonandberkeley-forex.com,1,58141927,16,0.01,16,0.01,"2017-04-11 01:55:04",2,11,0.89
230,market-forex.net,1,59534413,152,0.05,0,0,"2021-11-17 03:09:37",7,6,0
231,silwanaforex.org,1,59607492,10,0,10,0,"2020-11-20 16:33:32",3,62,0
232,conebayforexgym.blogspot.com,1,61406082,293,0.09,293,0.12,"2021-09-07 09:28:13",15,129,3.4
233,orbitforexacademy.blogspot.com,1,61301661,2,0,2,0,"2023-03-13 20:09:42",1,9,0
234,instaforex-africa.com,1,60921212,1,0,0,0,"2022-01-29 14:07:37",11,13,0
235,notesforexam.com,1,61478592,1,0,0,0,"2022-05-01 01:26:32",12,9,0.02
236,forexcues.com,1,61834981,2,0,0,0,"2022-01-07 18:14:02",1,27,0
237,gkmforex81.com,1,62297019,1,0,0,0,"2022-02-26 15:07:23",2,9,0
238,forex4rating.blogspot.com,1,63677108,24,0.01,24,0.01,"2019-03-19 19:11:49",1,44,30
239,forexsignals1.com,1,63429548,1,0,1,0,"2020-12-26 18:44:08",27,227,0
240,iforexgo.com,1,63133013,1,0,0,0,"2022-05-04 04:36:42",7,0,0
241,fullforex.net,1,63311852,9,0,0,0,"2020-11-04 08:47:24",76,"43,479",70
242,gundemforex.com,1,64837436,1,0,1,0,"2022-12-17 20:13:23",131,11,0
243,forex4pro.my,1,64864516,3,0,0,0,"2021-05-20 16:06:54",10,23,0
244,belajarforexgratis.com,1,67207309,1,0,1,0,"2021-04-25 16:56:05",3,8,0.07
245,forex-gurgaon.blogspot.com,1,66249154,23,0.01,23,0.01,"2019-03-18 22:55:54",1,0,0
246,wolfforex.blogspot.com,1,67472030,10,0,10,0,"2021-08-06 02:33:36",3,33,0.06
247,crownforexsignals.com,1,67492129,3,0,0,0,"2021-10-07 19:27:14",1,5,0
248,forextodaytrading.com,1,67760621,1,0,0,0,"2022-11-16 02:54:27",12,5,0
249,forextrader-ph.com,1,67419480,2,0,2,0,"2021-09-30 19:14:26",3,11,7
250,forexstart01.guru,1,67439183,2,0,0,0,"2022-06-23 03:12:52",1,9,0
251,forexgundem.net,1,66950578,1,0,1,0,"2022-08-19 14:07:43",125,9,0
252,endexforex.com,1,69379464,1,0,0,0,"2022-03-09 22:29:10",2,9,0
253,forexjakarta.com,1,68523021,1,0,0,0,"2019-05-28 08:58:22",141,3,0
254,forextradingcorp.com,1,68216909,2,0,0,0,"2021-11-26 05:43:24",18,0,0
255,ezforex.us,1,69077189,14,0,14,0.01,"2023-03-19 05:28:48",117,262,0
256,forex-comex-equity-signals.blogspot.com,0,69937454,459,0.14,459,0.19,"2019-03-12 05:03:50",5,24,0
257,discount-forex.com,0,71700931,1,0,0,0,"2022-07-30 13:48:46",322,19,0
258,myguide2forex.com,0,71877260,1,0,0,0,"2023-03-14 16:00:08",2,19,0
259,inspireforex.co.uk,0,70216084,5,0,0,0,"2019-04-20 14:21:19",120,12,0
260,tradingforexguide.com,0,73300605,1,0,0,0,"2021-04-16 16:23:25","2,646",2,26
261,forexbussinestech.info,0,73457328,94,0.03,94,0.04,"2020-12-18 11:04:19",883,144,0
262,aboutforexdubai.blogspot.com,0,75134721,46,0.01,46,0.02,"2019-03-19 05:22:22",8,11,0
263,brokerforexlokalterbaik.blogspot.com,0,76559873,21,0.01,0,0,"2021-04-25 08:57:11",30,41,0
264,instaforex-word.blogspot.com,0,75544996,1,0,1,0,"2023-03-13 20:23:31",22,75,0
265,thaiforexroom.blogspot.com,0,74766291,124,0.04,124,0.05,"2019-03-30 13:19:50",17,50,0
266,tomforexcar.blogspot.com,0,74588428,3,0,3,0,"2021-12-02 04:30:10",6,33,1416
267,xmforexofficemalaysia.blogspot.com,0,74734533,7,0,7,0,"2021-06-15 08:55:30",3,10,15
268,forextradingsystemcentral.com,0,74450098,1,0,0,0,"2017-03-27 20:30:16",28,12,0.02
269,justforexrebate.com,0,75773409,1,0,0,0,"2021-11-18 16:16:12",11,446,0.15
270,belforex.be,0,79489900,9,0,8,0,"2022-09-06 21:14:51",2,0,306
271,dola4u-forex.blogspot.com,0,79278945,1461,0.46,1461,0.59,"2018-04-03 21:27:52",2,85,0
272,dubaiforexrates.blogspot.com,0,76994624,51,0.02,51,0.02,"2019-03-18 16:58:28",5,18,0
273,forex-surabaya.blogspot.com,0,77423247,18,0.01,18,0.01,"2020-12-05 04:28:26",2,13,2.8
274,forexnadzis.blogspot.com,0,78447009,19,0.01,19,0.01,"2019-03-30 06:22:56",3,9,0
275,forexsignals777traders.blogspot.com,0,77510623,23,0.01,23,0.01,"2019-04-01 19:35:57",1,7,0
276,theforexpage.blogspot.com,0,79474070,1,0,1,0,"2020-05-12 03:47:03",147,"3,154",0
277,forexbestshop.com,0,78121081,1099,0.35,1099,0.45,"2021-09-30 07:26:46",10,75,136
278,forexsmart.id,0,77031101,5,0,0,0,"2022-01-10 15:58:52",1,9,0
279,sekolahtradingforex.id,0,78116543,2,0,0,0,"2020-10-21 06:12:57",1,0,0.04
280,sbnforex.n.nu,0,77639609,4,0,2,0,"2021-09-30 08:15:06",1,6,0
281,aprenderforexonline.blogspot.com,0,83681769,19,0.01,19,0.01,"2022-04-14 13:10:02",2,17,0
282,bsmartforextradingtipsnigeria.blogspot.com,0,81720070,2,0,2,0,"2021-07-23 07:48:57",4,25,0.01
283,cafeforexvn.blogspot.com,0,85125190,7,0,7,0,"2023-01-28 22:11:23",7,12,0
284,corretorforex.blogspot.com,0,82733062,332,0.10,332,0.14,"2016-07-28 21:04:18",3,16,0
